Iterations,Adagrad,AdagradG
265,-1014.19129408,-945.680867483
266,-1014.12670277,-947.150720399
267,-1014.06233522,-944.951434367
268,-1013.99818947,-946.371521569
269,-1013.93426364,-944.236451412
270,-1013.87055583,-945.6084395
271,-1013.80706418,-943.5356076
272,-1013.74378686,-944.861106467
273,-1013.68072206,-942.848600109
274,-1013.61786799,-944.129164944
275,-1013.55522287,-942.175134038
276,-1013.49278497,-943.41226725
277,-1013.43055257,-941.514922144
278,-1013.36852395,-942.710075217
279,-1013.30669744,-940.867684581
280,-1013.24507137,-942.022259866
281,-1013.18364412,-940.233148659
282,-1013.12241405,-941.348501096
283,-1013.06137958,-939.611048606
284,-1013.00053911,-940.68848738
285,-1012.93989108,-939.001125337
286,-1012.87943397,-940.041915481
287,-1012.81916623,-938.403126239
288,-1012.75908636,-939.408490171
289,-1012.69919289,-937.816804956
290,-1012.63948433,-938.787923968
291,-1012.57995924,-937.241921188
292,-1012.52061617,-938.179936871
293,-1012.46145372,-936.678240495
294,-1012.40247048,-937.58425612
295,-1012.34366507,-936.12553411
296,-1012.28503612,-937.000615953
297,-1012.22658227,-935.583578756
298,-1012.16830218,-936.428757379
299,-1012.11019455,-935.052156472
300,-1012.05225806,-935.868427958
